Date,Brand,Search Volume Index
2019-01-01,Gucci,53
2019-01-01,Dior,78
2019-01-01,Rolex,44
2019-01-01,Louis Vuitton,98
2019-01-01,Chanel,22
2019-01-02,Gucci,79
2019-01-02,Dior,30
2019-01-02,Rolex,49
2019-01-02,Louis Vuitton,47
2019-01-02,Chanel,92
2019-01-03,Gucci,26
2019-01-03,Dior,84
2019-01-03,Rolex,68
2019-01-03,Louis Vuitton,33
2019-01-03,Chanel,79
2019-01-04,Gucci,94
2019-01-04,Dior,53
2019-01-04,Rolex,56
2019-01-04,Louis Vuitton,23
2019-01-04,Chanel,48
2019-01-05,Gucci,63
2019-01-05,Dior,45
2019-01-05,Rolex,52
2019-01-05,Louis Vuitton,71
2019-01-05,Chanel,45
2019-01-06,Gucci,93
2019-01-06,Dior,50
2019-01-06,Rolex,18
2019-01-06,Louis Vuitton,42
2019-01-06,Chanel,63
2019-01-07,Gucci,56
2019-01-07,Dior,50
2019-01-07,Rolex,72
2019-01-07,Louis Vuitton,32
2019-01-07,Chanel,95
2019-01-08,Gucci,33
2019-01-08,Dior,73
2019-01-08,Rolex,51
2019-01-08,Louis Vuitton,27
2019-01-08,Chanel,63
2019-01-09,Gucci,15
2019-01-09,Dior,48
2019-01-09,Rolex,77
2019-01-09,Louis Vuitton,67
2019-01-09,Chanel,64
2019-01-10,Gucci,48
2019-01-10,Dior,21
2019-01-10,Rolex,78
2019-01-10,Louis Vuitton,46
2019-01-10,Chanel,49
2019-01-11,Gucci,20
2019-01-11,Dior,44
2019-01-11,Rolex,45
2019-01-11,Louis Vuitton,10
2019-01-11,Chanel,40
2019-01-12,Gucci,85
2019-01-12,Dior,53
2019-01-12,Rolex,38
2019-01-12,Louis Vuitton,85
2019-01-12,Chanel,28
2019-01-13,Gucci,49
2019-01-13,Dior,24
2019-01-13,Rolex,89
2019-01-13,Louis Vuitton,48
2019-01-13,Chanel,30
2019-01-14,Gucci,21
2019-01-14,Dior,26
2019-01-14,Rolex,54
2019-01-14,Louis Vuitton,53
2019-01-14,Chanel,46
2019-01-15,Gucci,51
2019-01-15,Dior,75
2019-01-15,Rolex,30
2019-01-15,Louis Vuitton,75
2019-01-15,Chanel,24
2019-01-16,Gucci,10
2019-01-16,Dior,22
2019-01-16,Rolex,11
2019-01-16,Louis Vuitton,23
2019-01-16,Chanel,36
2019-01-17,Gucci,66
2019-01-17,Dior,60
2019-01-17,Rolex,18
2019-01-17,Louis Vuitton,98
2019-01-17,Chanel,46
2019-01-18,Gucci,75
2019-01-18,Dior,98
2019-01-18,Rolex,31
2019-01-18,Louis Vuitton,72
2019-01-18,Chanel,26
2019-01-19,Gucci,38
2019-01-19,Dior,16
2019-01-19,Rolex,90
2019-01-19,Louis Vuitton,73
2019-01-19,Chanel,35
2019-01-20,Gucci,77
2019-01-20,Dior,97
2019-01-20,Rolex,47
2019-01-20,Louis Vuitton,78
2019-01-20,Chanel,66
2019-01-21,Gucci,86
2019-01-21,Dior,74
2019-01-21,Rolex,36
2019-01-21,Louis Vuitton,16
2019-01-21,Chanel,87
2019-01-22,Gucci,46
2019-01-22,Dior,28
2019-01-22,Rolex,63
2019-01-22,Louis Vuitton,28
2019-01-22,Chanel,97
2019-01-23,Gucci,78
2019-01-23,Dior,37
2019-01-23,Rolex,32
2019-01-23,Louis Vuitton,96
2019-01-23,Chanel,85
2019-01-24,Gucci,96
2019-01-24,Dior,19
2019-01-24,Rolex,81
2019-01-24,Louis Vuitton,32
2019-01-24,Chanel,75
2019-01-25,Gucci,33
2019-01-25,Dior,38
2019-01-25,Rolex,22
2019-01-25,Louis Vuitton,50
2019-01-25,Chanel,93
2019-01-26,Gucci,73
2019-01-26,Dior,59
2019-01-26,Rolex,43
2019-01-26,Louis Vuitton,98
2019-01-26,Chanel,55
2019-01-27,Gucci,42
2019-01-27,Dior,87
2019-01-27,Rolex,64
2019-01-27,Louis Vuitton,17
2019-01-27,Chanel,22
2019-01-28,Gucci,66
2019-01-28,Dior,15
2019-01-28,Rolex,26
2019-01-28,Louis Vuitton,61
2019-01-28,Chanel,58
2019-01-29,Gucci,56
2019-01-29,Dior,49
2019-01-29,Rolex,64
2019-01-29,Louis Vuitton,17
2019-01-29,Chanel,45
2019-01-30,Gucci,90
2019-01-30,Dior,93
2019-01-30,Rolex,34
2019-01-30,Louis Vuitton,50
2019-01-30,Chanel,15
2019-01-31,Gucci,55
2019-01-31,Dior,63
2019-01-31,Rolex,40
2019-01-31,Louis Vuitton,87
2019-01-31,Chanel,88
2019-02-01,Gucci,24
2019-02-01,Dior,42
2019-02-01,Rolex,35
2019-02-01,Louis Vuitton,32
2019-02-01,Chanel,22
2019-02-02,Gucci,85
2019-02-02,Dior,20
2019-02-02,Rolex,41
2019-02-02,Louis Vuitton,89
2019-02-02,Chanel,47
2019-02-03,Gucci,55
2019-02-03,Dior,23
2019-02-03,Rolex,86
2019-02-03,Louis Vuitton,41
2019-02-03,Chanel,28
2019-02-04,Gucci,22
2019-02-04,Dior,16
2019-02-04,Rolex,95
2019-02-04,Louis Vuitton,17
2019-02-04,Chanel,42
2019-02-05,Gucci,18
2019-02-05,Dior,37
2019-02-05,Rolex,80
2019-02-05,Louis Vuitton,44
2019-02-05,Chanel,65
2019-02-06,Gucci,61
2019-02-06,Dior,17
2019-02-06,Rolex,88
2019-02-06,Louis Vuitton,55
2019-02-06,Chanel,43
2019-02-07,Gucci,86
2019-02-07,Dior,96
2019-02-07,Rolex,51
2019-02-07,Louis Vuitton,20
2019-02-07,Chanel,30
2019-02-08,Gucci,95
2019-02-08,Dior,55
2019-02-08,Rolex,56
2019-02-08,Louis Vuitton,59
2019-02-08,Chanel,82
2019-02-09,Gucci,32
2019-02-09,Dior,60
2019-02-09,Rolex,22
2019-02-09,Louis Vuitton,44
2019-02-09,Chanel,47
2019-02-10,Gucci,48
2019-02-10,Dior,68
2019-02-10,Rolex,88
2019-02-10,Louis Vuitton,29
2019-02-10,Chanel,69
2019-02-11,Gucci,23
2019-02-11,Dior,28
2019-02-11,Rolex,82
2019-02-11,Louis Vuitton,27
2019-02-11,Chanel,25
2019-02-12,Gucci,96
2019-02-12,Dior,68
2019-02-12,Rolex,25
2019-02-12,Louis Vuitton,83
2019-02-12,Chanel,21
2019-02-13,Gucci,57
2019-02-13,Dior,25
2019-02-13,Rolex,49
2019-02-13,Louis Vuitton,29
2019-02-13,Chanel,97
2019-02-14,Gucci,90
2019-02-14,Dior,74
2019-02-14,Rolex,35
2019-02-14,Louis Vuitton,10
2019-02-14,Chanel,62
2019-02-15,Gucci,46
2019-02-15,Dior,73
2019-02-15,Rolex,44
2019-02-15,Louis Vuitton,46
2019-02-15,Chanel,60
2019-02-16,Gucci,86
2019-02-16,Dior,47
2019-02-16,Rolex,29
2019-02-16,Louis Vuitton,87
2019-02-16,Chanel,24
2019-02-17,Gucci,33
2019-02-17,Dior,72
2019-02-17,Rolex,39
2019-02-17,Louis Vuitton,10
2019-02-17,Chanel,46
2019-02-18,Gucci,42
2019-02-18,Dior,51
2019-02-18,Rolex,89
2019-02-18,Louis Vuitton,64
2019-02-18,Chanel,34
2019-02-19,Gucci,88
2019-02-19,Dior,68
2019-02-19,Rolex,10
2019-02-19,Louis Vuitton,70
2019-02-19,Chanel,99
2019-02-20,Gucci,85
2019-02-20,Dior,23
2019-02-20,Rolex,92
2019-02-20,Louis Vuitton,30
2019-02-20,Chanel,58
2019-02-21,Gucci,42
2019-02-21,Dior,81
2019-02-21,Rolex,64
2019-02-21,Louis Vuitton,27
2019-02-21,Chanel,22
2019-02-22,Gucci,10
2019-02-22,Dior,88
2019-02-22,Rolex,60
2019-02-22,Louis Vuitton,34
2019-02-22,Chanel,98
2019-02-23,Gucci,30
2019-02-23,Dior,82
2019-02-23,Rolex,73
2019-02-23,Louis Vuitton,37
2019-02-23,Chanel,16
2019-02-24,Gucci,72
2019-02-24,Dior,49
2019-02-24,Rolex,58
2019-02-24,Louis Vuitton,31
2019-02-24,Chanel,28
2019-02-25,Gucci,24
2019-02-25,Dior,72
2019-02-25,Rolex,34
2019-02-25,Louis Vuitton,39
2019-02-25,Chanel,51
2019-02-26,Gucci,17
2019-02-26,Dior,79
2019-02-26,Rolex,56
2019-02-26,Louis Vuitton,12
2019-02-26,Chanel,78
2019-02-27,Gucci,95
2019-02-27,Dior,81
2019-02-27,Rolex,22
2019-02-27,Louis Vuitton,20
2019-02-27,Chanel,30
2019-02-28,Gucci,43
2019-02-28,Dior,42
2019-02-28,Rolex,59
2019-02-28,Louis Vuitton,21
2019-02-28,Chanel,58
2019-03-01,Gucci,10
2019-03-01,Dior,55
2019-03-01,Rolex,39
2019-03-01,Louis Vuitton,21
2019-03-01,Chanel,62
2019-03-02,Gucci,62
2019-03-02,Dior,25
2019-03-02,Rolex,28
2019-03-02,Louis Vuitton,35
2019-03-02,Chanel,46
2019-03-03,Gucci,68
2019-03-03,Dior,92
2019-03-03,Rolex,73
2019-03-03,Louis Vuitton,11
2019-03-03,Chanel,11
2019-03-04,Gucci,57
2019-03-04,Dior,32
2019-03-04,Rolex,84
2019-03-04,Louis Vuitton,56
2019-03-04,Chanel,93
2019-03-05,Gucci,87
2019-03-05,Dior,69
2019-03-05,Rolex,29
2019-03-05,Louis Vuitton,60
2019-03-05,Chanel,66
2019-03-06,Gucci,15
2019-03-06,Dior,93
2019-03-06,Rolex,31
2019-03-06,Louis Vuitton,92
2019-03-06,Chanel,62
2019-03-07,Gucci,98
2019-03-07,Dior,14
2019-03-07,Rolex,70
2019-03-07,Louis Vuitton,90
2019-03-07,Chanel,45
2019-03-08,Gucci,68
2019-03-08,Dior,28
2019-03-08,Rolex,50
2019-03-08,Louis Vuitton,93
2019-03-08,Chanel,49
2019-03-09,Gucci,20
2019-03-09,Dior,91
2019-03-09,Rolex,91
