Year,Brand,Category,Region,Price (USD),Sales Volume,Revenue (USD),Customer Age Group,Customer Gender,Net Worth (USD),GDP per Capita,Inflation Rate (%),Income Level,Social Media Likes,Social Media Shares,Social Media Mentions,Sentiment Score
2022,Louis Vuitton,Watches,Australia,9776.65,5,48883.25,55+,Male,2267874.7,55000,2.0,High,16087,1731,1426,0.67
2020,Rolex,Perfumes,Asia,229.29,467,107078.43,18-24,Female,806010.94,15000,4.0,Medium,29552,2648,1734,0.79
2021,Rolex,Shoes,Europe,2349.19,310,728248.9,55+,Female,441431.2,45000,2.5,High,25683,3232,834,0.67
2019,Dior,Accessories,Australia,967.86,363,351333.18,18-24,Male,2795412.57,55000,2.0,High,19288,973,1750,0.74
2019,Louis Vuitton,Shoes,Europe,1902.64,318,605039.52,35-44,Male,4942134.78,45000,2.5,High,45634,4055,389,0.91
2021,Gucci,Bags,North America,4630.11,395,1828893.45,35-44,Non-binary,1771297.34,65000,3.5,High,49455,1633,966,0.58
2021,Gucci,Clothing,North America,2425.75,302,732576.5,55+,Non-binary,3666932.72,65000,3.5,High,14786,3533,2954,0.61
2021,Dior,Clothing,Middle East,749.55,269,201628.95,45-54,Female,2819449.42,30000,3.0,High,45962,2664,2846,0.91
2020,Gucci,Watches,Australia,19711.8,31,611065.8,45-54,Female,2050558.07,55000,2.0,High,2247,984,2357,0.53
2023,Rolex,Bags,South America,3654.5,137,500666.5,18-24,Male,1367778.55,12000,5.5,Medium,33487,644,1224,0.93
2021,Rolex,Bags,Australia,4789.79,234,1120810.86,45-54,Female,42493.72,55000,2.0,High,31220,2932,2919,0.7
2018,Louis Vuitton,Shoes,Middle East,1773.21,280,496498.8,45-54,Female,2301368.53,30000,3.0,High,1568,1602,2282,0.7
2018,Gucci,Shoes,Asia,1539.69,185,284842.65,35-44,Non-binary,4375475.78,15000,4.0,Medium,42302,3615,2019,0.83
2019,Gucci,Watches,Europe,23542.81,14,329599.34,45-54,Male,19009.42,45000,2.5,High,3540,2043,1483,0.83
2018,Gucci,Bags,Europe,2569.13,236,606314.68,18-24,Non-binary,10008.74,45000,2.5,High,36183,3521,2195,0.99
2022,Louis Vuitton,Clothing,Australia,693.51,279,193489.29,35-44,Male,2287740.08,55000,2.0,High,7731,1596,2334,0.53
2020,Louis Vuitton,Watches,Asia,12953.35,41,531087.35,45-54,Male,1017882.4,15000,4.0,Medium,46930,1611,1765,0.86
2021,Louis Vuitton,Watches,Europe,16667.11,14,233339.54,25-34,Female,1128009.89,45000,2.5,High,14972,4826,2026,0.58
2020,Rolex,Shoes,North America,2384.47,236,562734.92,18-24,Non-binary,20451.25,65000,3.5,High,11516,2869,670,0.89
2021,Rolex,Bags,Middle East,4168.77,219,912960.63,25-34,Non-binary,10977.61,30000,3.0,High,18370,3611,844,0.9
2022,Rolex,Accessories,Asia,1002.4,192,192460.8,18-24,Female,3150891.36,15000,4.0,Medium,31417,1026,638,0.77
2022,Chanel,Bags,Asia,1750.51,350,612678.5,18-24,Non-binary,45362.2,15000,4.0,Medium,7428,1695,240,0.65
2020,Rolex,Bags,Asia,4807.34,95,456697.3,25-34,Non-binary,3549984.66,15000,4.0,Medium,14543,1079,2653,0.66
2018,Chanel,Watches,Asia,23129.25,11,254421.75,25-34,Non-binary,15209.08,15000,4.0,Medium,12306,4803,1857,0.94
2022,Gucci,Accessories,South America,779.78,326,254208.28,25-34,Female,2129448.02,12000,5.5,Medium,31927,4597,2327,0.59
2019,Gucci,Shoes,Asia,917.14,457,419132.98,35-44,Male,33909.46,15000,4.0,Medium,35602,2161,1861,0.84
2022,Gucci,Clothing,South America,2270.78,345,783419.1,55+,Male,48377.11,12000,5.5,Medium,16156,291,1111,0.94
2020,Gucci,Perfumes,Europe,254.1,424,107738.4,18-24,Non-binary,2621185.73,45000,2.5,High,23668,903,2048,0.67
2022,Louis Vuitton,Watches,South America,9222.57,16,147561.12,55+,Male,146863.36,12000,5.5,Medium,41934,2481,891,0.78
2020,Gucci,Perfumes,North America,160.45,82,13156.9,55+,Non-binary,726145.74,65000,3.5,High,47397,3475,1711,0.85
2023,Louis Vuitton,Bags,South America,2796.95,72,201380.4,18-24,Non-binary,1885465.54,12000,5.5,Medium,43280,3382,2816,0.81
2023,Louis Vuitton,Bags,Middle East,2672.12,421,1124962.52,55+,Non-binary,3535378.1,30000,3.0,High,12716,2706,1055,0.54
2020,Chanel,Clothing,Asia,2858.17,344,983210.48,18-24,Female,3246228.45,15000,4.0,Medium,17924,4972,2491,0.68
2021,Gucci,Bags,North America,4930.05,131,645836.55,55+,Non-binary,1913487.7,65000,3.5,High,16314,2003,471,0.59
2018,Louis Vuitton,Accessories,South America,937.33,177,165907.41,35-44,Male,3248405.33,12000,5.5,Medium,46603,100,1359,0.69
2021,Chanel,Watches,Australia,15696.29,43,674940.47,55+,Female,498689.32,55000,2.0,High,33813,3347,1820,0.54
2019,Chanel,Clothing,Europe,2786.54,214,596319.56,18-24,Female,3430329.34,45000,2.5,High,5836,550,1532,0.55
2023,Chanel,Perfumes,Europe,332.85,107,35614.95,25-34,Male,2630767.51,45000,2.5,High,36347,2674,1725,0.56
2020,Chanel,Shoes,Asia,806.58,314,253266.12,35-44,Non-binary,25148.77,15000,4.0,Medium,31598,4751,1660,0.88
2019,Rolex,Perfumes,Australia,407.13,340,138424.2,35-44,Non-binary,2155824.41,55000,2.0,High,27040,825,1652,0.76
2020,Louis Vuitton,Perfumes,Australia,145.91,303,44210.73,18-24,Male,3306643.87,55000,2.0,High,16423,1233,918,0.59
2023,Rolex,Watches,Middle East,11609.31,12,139311.72,45-54,Non-binary,2724709.98,30000,3.0,High,6960,2504,2525,0.68
2023,Rolex,Bags,Asia,3694.35,236,871866.6,25-34,Male,2170947.81,15000,4.0,Medium,6715,3749,817,0.96
